city,city_ascii,lat,lng
Longba,Longba,33.3702,104.9603
Nāgpur,Nagpur,21.1497,79.0806
Queens,Queens,40.7498,-73.7976
Jilin,Jilin,43.8519,126.5481
Tieling,Tieling,42.2237,123.726
Accra,Accra,5.55,-0.2
Yunfu,Yunfu,22.9152,112.0445
Bekasi Kota,Bekasi Kota,-6.2333,107
Daegu,Daegu,35.8717,128.6017
Ghāziābād,Ghaziabad,28.67,77.42
Luoyang,Luoyang,34.6197,112.4539
Brisbane,Brisbane,-27.4678,153.0281
Anshun,Anshun,26.2531,105.9476
Riverside,Riverside,33.9381,-117.3949
Yingkou,Yingkou,40.625,122.219
Colombo,Colombo,6.9344,79.8428
Yanjiang,Yanjiang,30.129,104.627
Baku,Baku,40.3953,49.8822
Antananarivo,Antananarivo,-18.91,47.525
Mudanjiang,Mudanjiang,44.5514,129.6329
Fukuoka,Fukuoka,33.59,130.4017
Yan’an,Yan'an,36.65,109.494
Jincheng,Jincheng,35.491,112.852
Nantong,Nantong,31.981,120.894
Lincang,Lincang,23.884,100.089
Yuxi,Yuxi,24.347,102.527
Las Vegas,Las Vegas,36.2333,-115.2654
Caracas,Caracas,10.4806,-66.9036
Tangerang,Tangerang,-6.1703,106.6403
Laibin,Laibin,23.7501,109.2212
Konya,Konya,37.8667,32.4833
Supaul,Supaul,26.126,86.605
Vienna,Vienna,48.2083,16.3725
Eşfahān,Esfahan,32.6447,51.6675
Baltimore,Baltimore,39.3051,-76.6144
Shengli,Shengli,37.434,118.6746
Dandong,Dandong,40.1167,124.3833
Qinbaling,Qinbaling,35.7278,107.64
Gaoping,Gaoping,30.7824,106.1281
Awka,Awka,6.2069,7.0678
Taizhou,Taizhou,28.6557,121.4208
Ma’anshan,Ma'anshan,31.669,118.507
Harare,Harare,-17.8292,31.0522
Perth,Perth,-31.9559,115.8606
St. Louis,St. Louis,38.6359,-90.2451
Phnom Penh,Phnom Penh,11.5694,104.9211
Depok,Depok,-6.394,106.8225
Stockholm,Stockholm,59.3294,18.0686
Puning,Puning,23.298,116.166
Huaibei,Huaibei,33.956,116.798
Kowloon,Kowloon,22.3167,114.1833
Córdoba,Cordoba,-31.4167,-64.1833
Haiphong,Haiphong,20.8651,106.6838
Zamboanga City,Zamboanga City,6.9042,122.0761
Chongzuo,Chongzuo,22.377,107.365
Rawalpindi,Rawalpindi,33.6,73.0333
Portland,Portland,45.5371,-122.65
Kano,Kano,12,8.5167
Yushan,Yushan,31.322,120.985
Havana,Havana,23.1367,-82.3589
Hezhou,Hezhou,24.4042,111.5672
Pingliang,Pingliang,35.5424,106.6649
Vadodara,Vadodara,22.3,73.2
Manaus,Manaus,-3.1189,-60.0217
Qingyang,Qingyang,24.7816,118.5517
San Antonio,San Antonio,29.4632,-98.5238
Rājkot,Rajkot,22.3,70.7833
Shangzhou,Shangzhou,33.868,109.9244
Vishākhapatnam,Vishakhapatnam,17.7042,83.2978
Sanmenxia,Sanmenxia,34.7732,111.2004
Baicheng,Baicheng,45.62,122.838
Gujranwala,Gujranwala,32.1567,74.19
Aleppo,Aleppo,36.2,37.16
Tijuana,Tijuana,32.525,-117.0333
Bamenda,Bamenda,5.9614,10.1517
Minsk,Minsk,53.9,27.5667
Indore,Indore,22.7167,75.8472
Karaj,Karaj,35.8272,50.9489
Kananga,Kananga,-5.897,22.4488
Peshawar,Peshawar,34.0144,71.5675
Sapporo,Sapporo,43.0619,141.3544
Sacramento,Sacramento,38.5677,-121.4685
Tilburg,Tilburg,51.55,5.0833
Pingxiang,Pingxiang,27.659,113.887
Ecatepec,Ecatepec,19.6097,-99.06
Almaty,Almaty,43.24,76.915
Austin,Austin,30.3005,-97.7522
Yinchuan,Yinchuan,38.485,106.225
Santos,Santos,-23.9369,-46.325
Blantyre,Blantyre,-15.7861,35.0058
Thāne,Thane,19.1972,72.9722
Orlando,Orlando,28.4773,-81.337
Tainan,Tainan,22.9833,120.1833
Xiping,Xiping,40.082,113.2981
Multan,Multan,30.1978,71.4697
Santa Cruz,Santa Cruz,-17.8,-63.1833
Port Harcourt,Port Harcourt,4.8242,7.0336
Jixi,Jixi,45.295,130.969
Fushun,Fushun,41.881,123.957
Warsaw,Warsaw,52.23,21.0111
Beihai,Beihai,21.481,109.12
Fuxin,Fuxin,42.022,121.67
Wuwei,Wuwei,37.929,102.638
Siping,Siping,43.1668,124.3506
San Juan,San Juan,18.3985,-66.061
Mersin,Mersin,36.8,34.6333
Bhopāl,Bhopal,23.2599,77.4126
Mosul,Mosul,36.34,43.13
Lubumbashi,Lubumbashi,-11.6647,27.4794
Davao,Davao,7.07,125.6
Curitiba,Curitiba,-25.4297,-49.2711
San Jose,San Jose,37.3012,-121.848
Shuyangzha,Shuyangzha,34.1299,118.7734
Adana,Adana,37,35.3213
Quito,Quito,-0.22,-78.5125
Pittsburgh,Pittsburgh,40.4397,-79.9763
Brazzaville,Brazzaville,-4.2694,15.2711
Hyderabad City,Hyderabad City,25.3792,68.3683
Diyarbakır,Diyarbakir,37.91,40.24
Indianapolis,Indianapolis,39.7771,-86.1458
Pimpri-Chinchwad,Pimpri-Chinchwad,18.6186,73.8037
Masqaţ,Masqat,23.5889,58.4083
Montevideo,Montevideo,-34.8836,-56.1819
Shuozhou,Shuozhou,39.3317,112.4329
Manhattan,Manhattan,40.7834,-73.9662
Cincinnati,Cincinnati,39.1413,-84.506
Kansas City,Kansas City,39.1238,-94.5541
Patna,Patna,25.594,85.1376
Tegucigalpa,Tegucigalpa,14.1058,-87.2047
Kampala,Kampala,0.3136,32.5811
Cleveland,Cleveland,41.4764,-81.6805
Sanzhou,Sanzhou,30.82,108.4
Changshu,Changshu,31.656,120.753
Heihe,Heihe,50.2401,127.521
Conakry,Conakry,9.5092,-13.7122
Ximeicun,Ximeicun,24.9612,118.3849
Caloocan City,Caloocan City,14.65,120.97
Masvingo,Masvingo,-20.0744,30.8328
Zhongli,Zhongli,24.965,121.2168
Novosibirsk,Novosibirsk,55.05,82.95
Bilāspur,Bilaspur,22.09,82.15
Semarang,Semarang,-6.99,110.4225
Jingdezhen,Jingdezhen,29.2917,117.1986
